Week,CS410_TIS,CS498_IoT,CS598DL4H,CS412_IDM,CS598_DMC,CS598_PSL,CS441_AML,CS416_DV
1,5.6,5.9,0.7,5.1,0.9,0.6,5.2,1.3
2,1.6,0.6,47.3,11.2,19.7,4.5,10.9,9.9
3,0.0,16.0,8.1,8.3,25.7,5.3,8.1,0.6
4,5.8,45.2,5.6,7.8,20.8,18.3,5.8,8.4
5,10.8,45.7,1.3,18.7,13.6,6.6,0.0,6.9
6,9.1,2.3,21.1,8.3,14.1,12.2,0.0,18.1
7,14.0,7.9,8.9,1.8,5.7,8.4,0.0,2.5
8,11.0,40.7,4.7,11.9,7.3,12.6,0.7,6.1
9,6.7,5.1,20.0,7.6,13.3,9.0,2.8,2.7
10,25.3,26.5,10.9,5.6,14.8,12.5,0.9,2.9
11,16.0,16.7,15.2,9.1,16.5,11.0,1.8,4.7
12,0.3,21.9,9.4,7.9,21.2,0.7,14.6,0.0
13,12.7,12.0,7.0,6.9,0.1,6.0,6.4,0.0
14,15.4,35.3,16.6,8.3,0.0,11.6,0.2,0.0
15,9.1,27.0,3.5,2.2,0.0,10.0,0.0,0.0
16,10.8,18.5,11.6,8.3,0.0,3.5,0.0,0.0
17,16.0,14.0,7.4,5.7,0.0,16.3,0.0,0.0
18,12.9,9.0,0.0,0.0,0.0,0.0,0.0,0.0